mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_penalty,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.011823368072509766,0.006806886705278535,0.0022001266479492188,0.000399847419710921,0.1,l2,"{'C': 0.1, 'penalty': 'l2'}",0.803125,0.795,0.8175,0.81375,0.821875,0.8102500000000001,0.009831391051117837,3
0.007233858108520508,0.00038981856189312757,0.001598691940307617,0.0004886958524577609,1.0,l2,"{'C': 1.0, 'penalty': 'l2'}",0.80375,0.794375,0.81875,0.81375,0.8225,0.8106249999999999,0.010277402395547218,1
0.007075786590576172,0.0006508760312194224,0.0013997077941894532,0.0004901159869120434,10.0,l2,"{'C': 10.0, 'penalty': 'l2'}",0.804375,0.794375,0.81875,0.811875,0.8225,0.810375,0.01011341930308438,2
